LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.7 on Thu Dec 26 20:32:42 +0330 2019
 500 atoms
 2 bonds
 0 angles
 0 dihedrals
 0 impropers
 2 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -0.500000 0.500000  xlo xhi
 -0.500000 0.500000  ylo yhi
 -0.500000 0.500000  zlo zhi

# Pair Coeffs
#
# 1  AL
# 2  O

# Bond Coeffs
#
# 1  

 Masses

 1 26.981539 # AL
 2 15.999400 # O

 Atoms # full

126 1 1 0.000000 78.431999 4.632000 64.088997 # AL UNL
127 2 1 0.000000 72.933998 4.483000 64.563004 # AL UNL
128 3 2 0.000000 76.887001 6.870000 58.793999 # O HOH
129 4 2 0.000000 81.627998 2.417000 69.292999 # O HOH
130 5 2 0.000000 66.692001 3.019000 68.185997 # O HOH
131 1 1 0.000000 83.096001 12.280000 63.083000 # AL UNL
132 2 1 0.000000 87.005997 8.507000 64.057999 # AL UNL
133 3 2 0.000000 84.281998 10.569000 57.506001 # O HOH
134 4 2 0.000000 80.735001 15.130000 68.420998 # O HOH
135 5 2 0.000000 91.394997 4.593000 68.489998 # O HOH
136 1 1 0.000000 52.723000 6.714000 89.257004 # AL UNL
137 2 1 0.000000 57.356998 9.685000 88.851997 # AL UNL
138 3 2 0.000000 51.167000 10.449000 84.890999 # O HOH
139 4 2 0.000000 52.912998 2.060000 93.783997 # O HOH
140 5 2 0.000000 64.244003 11.410000 90.808998 # O HOH
141 1 1 0.000000 10.201000 11.105000 79.624001 # AL UNL
142 2 1 0.000000 15.262000 13.251000 80.130997 # AL UNL
143 3 2 0.000000 10.504000 11.624000 85.545998 # O HOH
144 4 2 0.000000 8.389000 9.943000 73.495003 # O HOH
145 5 2 0.000000 21.643000 15.736000 77.422997 # O HOH
146 1 1 0.000000 63.882000 5.540000 49.952999 # AL UNL
147 2 1 0.000000 63.058998 10.985000 50.337002 # AL UNL
148 3 2 0.000000 69.322998 7.500000 48.543999 # O HOH
149 4 2 0.000000 58.634998 1.941000 51.259998 # O HOH
150 5 2 0.000000 58.901001 16.923000 51.634998 # O HOH
151 1 1 0.000000 96.865997 8.871000 72.417999 # AL UNL
152 2 1 0.000000 94.281998 13.415000 70.641998 # AL UNL
153 3 2 0.000000 101.568001 12.280000 71.112999 # O HOH
154 4 2 0.000000 92.889999 4.078000 74.263000 # O HOH
155 5 2 0.000000 88.263000 17.361000 69.084000 # O HOH
156 1 1 0.000000 10.828000 7.030000 66.247002 # AL UNL
157 2 1 0.000000 9.568000 7.762000 71.570999 # AL UNL
158 3 2 0.000000 15.622000 10.079000 68.023003 # O HOH
159 4 2 0.000000 6.364000 3.735000 62.868999 # O HOH
160 5 2 0.000000 5.212000 6.978000 77.457001 # O HOH
161 1 1 0.000000 47.081001 12.672000 82.287003 # AL UNL
